Current Assessed Value,Roll Number,Location Address,Taxation Status,Assessment Class,Property Type,Property Use,Valuation Approach,Market Adjustment,Community,Market Area,Sub Neighbourhood Code (SNC),Sub Market Area,Influences,Land Use Designation,Assessable Land Area,Building Count,Building Type/Structure,Year of Construction,Quality,Total Living Area Above Grade,Living Area Below Grade,Basement Suite,Walkout Basement,Garage Type,Garage Area,Fireplace Count,Constructed On Original Foundation,Modified For Disabled,Old House On New Foundation,Basementless,Penthouse
492500,438090001,363 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4860,1,House / 2 Storey,2002,Average,1859,488,F,F,Attached,383,1,F,F,F,F,F
463500,438090002,351 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4179,1,House / 2 Storey,2002,Average,1830,0,F,F,Attached,385,1,F,F,F,F,F
489500,438090003,335 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4930,1,House / 2 Storey,2001,Average,1911,0,F,F,Attached,621,1,F,F,F,F,F
486500,438090004,355 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4393,1,House / 2 Storey,2002,Average,1911,0,F,F,Attached,520,1,F,F,F,F,F
516000,438090005,421 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4481,1,House / 2 Storey,2002,Average,1969,580,F,F,Attached,440,1,F,F,F,F,F
524500,438090006,339 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4929,1,House / 2 Storey,2002,Average,1911,680,F,F,Attached,608,1,F,F,F,F,F
497000,438090007,413 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4176,1,House / 2 Storey,2002,Average,1831,0,F,T,Attached,396,1,F,F,F,F,F
501500,438090008,405 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Green Space - Athletic Field Road/Corner Lot/Traffic Collector,Residential - Contextual One Dwelling,5368,1,House / 2 Storey,2000,Average,1940,602,F,F,Attached,420,1,F,F,F,F,F
536500,438090009,371 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Corner Lot/Traffic Collector,Residential - Contextual One Dwelling,5415,1,House / 2 Storey,2002,Average,1974,580,F,F,Attached,660,1,F,F,F,F,F
492500,438090010,359 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4636,1,House / 2 Storey,2001,Average,1985,0,F,F,Attached,510,1,F,F,F,F,F
572000,438090011,347 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4179,1,House / 2 Storey,2002,Average,2103,764,F,F,Attached,388,1,F,F,F,F,F
509000,438090012,425 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4257,1,House / 2 Storey,2002,Average,1904,691,F,F,Attached,443,1,F,F,F,F,F
575000,438090013,417 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4435,1,House / 2 Storey,2002,Average,2067,853,F,T,Attached,431,1,F,F,F,F,F
509500,438090014,409 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4854,1,House / 2 Storey,2000,Average,1960,0,F,T,Attached,427,1,F,F,F,F,F
503000,438090015,331 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4481,1,House / 2 Storey,2001,Average,2103,0,F,F,Attached,400,0,F,F,F,F,F
478500,438090016,327 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4256,1,House / 2 Storey,2001,Average,1948,0,F,F,Attached,420,1,F,F,F,F,F
512000,438090017,367 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4682,1,House / 2 Storey,2002,Average,2104,0,F,F,Attached,399,1,F,F,F,F,F
480000,438090018,343 FAKE ST NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Traffic Collector,Residential - Contextual One Dwelling,4638,1,House / 2 Storey,2002,Average,1948,0,F,F,Attached,300,1,F,F,F,F,F
