ADDRESS,STREET_NAME,STREET_TYPE,STREET_QUAD,HOUSE_NUMBER,HOUSE_ALPHA,ADDRESS_TYPE,longitude,latitude,location
351 FAKE ST NW,ROCKYVALLEY,DR,NW,11351,,Parcel,-114.251647102254,51.1488859177422,"(51.1488859177422, -114.251647102254)"
139 DEER LANE RD SE,DEER LANE,RD,SE,139,,Parcel,-114.008953485904,50.9240880576427,"(50.9240880576427, -114.008953485904)"
75 AUBURN BAY BV SE,AUBURN BAY,BV,SE,75,,Parcel,-113.952749773172,50.8860555519899,"(50.8860555519899, -113.952749773172)"
2431 39 ST SE,39,ST,SE,2431,,Parcel,-113.977398122952,51.0320618881045,"(51.0320618881045, -113.977398122952)"
243 EDGEBROOK PA NW,EDGEBROOK,PA,NW,243,,Parcel,-114.124398525907,51.1373721840988,"(51.1373721840988, -114.124398525907)"
45 HAMPTONS CI NW,HAMPTONS,CI,NW,45,,Parcel,-114.151910366139,51.1454365663475,"(51.1454365663475, -114.151910366139)"
57 SPRINGBOROUGH CR SW,SPRINGBOROUGH,CR,SW,57,,Parcel,-114.197140927985,51.031954109788,"(51.031954109788, -114.197140927985)"
68 AUBURN SHORES CR SE,AUBURN SHORES,CR,SE,68,,Parcel,-113.954974034921,50.8867121690973,"(50.8867121690973, -113.954974034921)"
117 ROYAL OAK GR NW,ROYAL OAK,GR,NW,117,,Parcel,-114.227246749476,51.1517305395306,"(51.1517305395306, -114.227246749476)"
2236 6 AV NW,6,AV,NW,2236,,Parcel,-114.112498632435,51.0582950613826,"(51.0582950613826, -114.112498632435)"
4724 17 AV NW,17,AV,NW,4724,,Parcel,-114.162393575959,51.0728208909363,"(51.0728208909363, -114.162393575959)"
109 SOMERGLEN CL SW,SOMERGLEN,CL,SW,109,,Parcel,-114.080466409245,50.8947690291697,"(50.8947690291697, -114.080466409245)"
93 MAHOGANY SQ SE,MAHOGANY,SQ,SE,93,,Parcel,-113.93958978856,50.902542962499,"(50.902542962499, -113.93958978856)"
1192 NORTHMOUNT DR NW,NORTHMOUNT,DR,NW,1192,,Parcel,-114.119567836736,51.0898954585851,"(51.0898954585851, -114.119567836736)"
151 RIVERSIDE ME SE,RIVERSIDE,ME,SE,151,,Parcel,-114.027268467837,50.9799614541491,"(50.9799614541491, -114.027268467837)"
200 EDGEMONT ESTATES DR NW,EDGEMONT ESTATES,DR,NW,200,,Parcel,-114.149791767491,51.1180668144908,"(51.1180668144908, -114.149791767491)"
71 RIVERBIRCH CO SE,RIVERBIRCH,CO,SE,71,,Parcel,-114.020243037722,50.9809790215254,"(50.9809790215254, -114.020243037722)"
23 WHITAKER CO NE,WHITAKER,CO,NE,23,,Parcel,-113.978368475167,51.0865018987031,"(51.0865018987031, -113.978368475167)"
48 PANATELLA RI NW,PANATELLA,RI,NW,48,,Parcel,-114.083477056011,51.1689354650577,"(51.1689354650577, -114.083477056011)"
31 TARARIDGE PL NE,TARARIDGE,PL,NE,31,,Parcel,-113.941635365854,51.1130802998769,"(51.1130802998769, -113.941635365854)"
633 22 AV NE,22,AV,NE,633,,Parcel,-114.048583656915,51.0723167833694,"(51.0723167833694, -114.048583656915)"
463 RUNDLELAWN WY NE,RUNDLELAWN,WY,NE,463,,Parcel,-113.976959591587,51.0771486809209,"(51.0771486809209, -113.976959591587)"
140 MARQUIS VW SE,MARQUIS,VW,SE,140,,Parcel,-113.916582110388,50.8999217035536,"(50.8999217035536, -113.916582110388)"
50 SPRING VALLEY PL SW,SPRING VALLEY,PL,SW,50,,Parcel,-114.201545743762,51.0254919869388,"(51.0254919869388, -114.201545743762)"
363 FAKE ST NW,ROCKYVALLEY,DR,NW,11363,,Parcel,-114.252129134624,51.1487225007547,"(51.1487225007547, -114.252129134624)"
